donor,donorlabel
HS401_P25_140619,donor 15
UCLA2_P14_150817,donor 28
WA17_P12_140530,donor 35
CSES15_P26_140611,donor 3
UCLA10_P15_150817,donor 26
CHB11_P25_140722,donor 1
WA22_P14_140530,donor 36
CSES25_P26_150119,donor 4
ESI051_P35_140610,donor 9
ESI049_P33_140612,donor 8
HS420_P24_140623,donor 16
HUES75_P7_150124,donor 23
WA09_P25_140528,donor 32
UM14-1_P26_150115,donor 30
WA15_P31_140529,donor 34
CT4_P15_140622,donor 6
ESI017_P31_140619,donor 7
HUES42_P22_131008,donor 17
HUES44_P16_131008,donor 18
UCLA13_P16_150817,donor 27
CT2_P11_140622,donor 5
WA13_P33_140530,donor 33
HUES63_P15_140416,donor 21
HUES45_P21_131206,donor 19
HUES64_P14_131009,donor 22
RUES1_P25_140730,donor 25
UCSF4_P19_140613,donor 29
HUES49_P25_130903,donor 20
CHB4_P22_150729,donor 2
Genea42_P19_150107,donor 12
Genea16_P17_150104,donor 11
Genea47_P10_150104,donor 13
WA24_P15_140528,donor 37
UM77-2_P12_150107,donor 31
Genea52_P11_150110,donor 14
Genea15_P20_150110,donor 10
WA7_P33_140529,donor 38
Mel2_P28_150121,donor 24
