gene_id,gene_name,seqnames,celltype_or_region
ENSG00000095739,BAMBI,chr10,glial_progenitor
ENSG00000094804,CDC6,chr17,NPC_Sphase
ENSG00000095596,CYP26A1,chr10,NPC_G1G0
ENSG00000109851,DBX1,chr11,midbrain
ENSG00000185610,DBX2,chr12,midbrain
ENSG00000011465,DCN,chr12,neural_crest
ENSG00000162374,ELAVL4,chr1,excitatory_neurons
ENSG00000170370,EMX2,chr10,NPC_Sphase
ENSG00000163064,EN1,chr2,anterior
ENSG00000265992,ESRG,chr3,stem_cell
ENSG00000125798,FOXA2,chr20,ventral
ENSG00000176165,FOXG1,chr14,anterior
ENSG00000168505,GBX2,chr2,anterior hindbrain
ENSG00000114315,HES1,chr3,NPC_canonical
ENSG00000105996,HOXA2,chr7,posterior
ENSG00000182742,HOXB4,chr17,posterior
ENSG00000120068,HOXB8,chr17,posterior
ENSG00000170689,HOXB9,chr17,posterior
ENSG00000128652,HOXD3,chr2,posterior
ENSG00000177508,IRX3,chr16,midbrain
ENSG00000243709,LEFTY1,chr1,stem_cell
ENSG00000162761,LMX1A,chr1,dorsal
ENSG00000186868,MAPT,chr17,excitatory_neurons
ENSG00000073111,MCM2,chr3,NPC_Sphase
ENSG00000148773,MKI67,chr10,NPC_canonical
ENSG00000111704,NANOG,chr12,stem_cell
ENSG00000132688,NES,chr1,NPC_canonical
ENSG00000162992,NEUROD1,chr2,newborn_neurons
ENSG00000123307,NEUROD4,chr12,newborn_neurons
ENSG00000181965,NEUROG1,chr5,newborn_neurons
ENSG00000178403,NEUROG2,chr4,newborn_neurons
ENSG00000162599,NFIA,chr1,glial_progenitor
ENSG00000136352,NKX2-1,chr14,posterior
ENSG00000125820,NKX2-2,chr20,ventral
ENSG00000163623,NKX6-1,chr4,ventral
ENSG00000163273,NPPC,chr2,NPC_G1G0
ENSG00000179915,NRXN1,chr2,excitatory_neurons
ENSG00000205927,OLIG2,chr21,ventral
ENSG00000177468,OLIG3,chr6,dorsal
ENSG00000115507,OTX1,chr2,anterior
ENSG00000165588,OTX2,chr14,anterior
ENSG00000135903,PAX3,chr2,dorsal
ENSG00000007372,PAX6,chr11,NPC_canonical
ENSG00000009709,PAX7,chr1,dorsal
ENSG00000204531,POU5F1,chr6,stem_cell
ENSG00000160678,S100A1,chr1,neural_crest
ENSG00000138083,SIX3,chr2,anterior
ENSG00000019549,SNAI2,chr8,neural_crest
ENSG00000182968,SOX1,chr13,NPC_canonical
ENSG00000181449,SOX2,chr3,NPC_canonical
ENSG00000152583,SPARCL1,chr4,glial_progenitor
ENSG00000104435,STMN2,chr8,excitatory_neurons
ENSG00000131747,TOP2A,chr17,NPC_G2M
ENSG00000122691,TWIST1,chr7,neural_crest
ENSG00000175063,UBE2C,chr20,NPC_G2M
ENSG00000076248,UNG,chr12,NPC_Sphase
